code,name,tmin,tmax,pmin,pmax
MDA,Moldova,5.0,13.9,2.0,3.3
STP,Sao Tome and Principe,20.5,27.0,1.5,2.0
MDG,Madagascar,18.0,27.3,1.7,2.1
ECU,Ecuador,15.6,28.1,1.8,2.3
SEN,Senegal,20.8,34.9,2.0,2.7
MDV,Maldives,24.8,30.5,1.5,1.8
FRA,France,6.5,14.9,1.6,2.6
LTU,Lithuania,2.3,10.1,2.0,3.0
RWA,Rwanda,11.9,23.8,2.1,2.4
ZMB,Zambia,14.5,28.3,2.1,2.7
GMB,Gambia The,20.4,34.6,2.1,2.7
FRO,Faeroe Islands,3.8,8.4,0.6,1.6
GTM,Guatemala,18.2,28.7,1.7,2.8
DNK,Denmark,4.3,10.7,1.6,2.5
ZWE,Zimbabwe,14.2,27.8,2.2,2.9
AUS,Australia,14.9,28.4,1.7,2.4
AUT,Austria,2.3,10.4,1.9,2.9
VEN,Venezuela RB,20.3,30.4,1.8,2.9
ADO,Andorra,2.9,12.3,1.8,2.8
IRN,Iran Islamic Rep.,10.1,24.4,2.2,3.3
PLW,Palau,24.1,31.1,1.4,1.7
KEN,Kenya,18.9,30.6,1.9,2.1
LAO,Lao PDR,18.2,27.4,1.6,2.4
TUR,Turkey,5.4,16.8,1.9,2.9
ALB,Albania,6.3,16.5,1.9,2.9
OMN,Oman,20.8,30.4,2.0,2.4
TUV,Tuvalu,24.9,31.1,1.4,1.9
MMR,Myanmar,17.7,8.4,1.7,2.3
BRN,Brunei Darussalam,22.9,30.8,1.5,1.9
TUN,Tunisia,13.5,24.9,1.9,2.6
RUS,Russian Federation,-10.1,-0.1,2.6,3.7
MEX,Mexico,13.5,28.5,1.7,2.8
BRA,Brazil,19.6,30.3,1.9,2.6
CAN,Canada,-10.1,-0.6,2.6,3.5
MKD,Macedonia FYR,4.5,15.1,1.9,3.0
USA,United States,2.2,14.9,2.0,3.0
QAT,Qatar,21.3,33.0,2.3,2.9
WSM,Samoa,23.8,29.6,1.3,1.6
UKR,Ukraine,4.0,12.6,2.1,3.0
GNB,Guinea-Bissau,20.9,32.6,1.8,2.2
