Alabama,35.47
Alaska,0.46
Arizona,22.09
Arkansas,21.17
California,91.00
Colorado,18.39
Connecticut,279.02
Delaware,172.52
Florida,131.14
Georgia,64.58
Hawaii,77.44
Idaho,7.11
Illinois,89.62
Indiana,68.65
Iowa,20.75
Kansas,13.22
Kentucky,41.49
Louisiana,39.09
Maine,16.47
Maryland,222.54
Massachusetts,320.01
Michigan,67.99
Minnesota,25.32
Mississippi,24.19
Missouri,33.13
Montana,2.57
Nebraska,8.96
Nevada,9.14
New Hampshire,56.65
New Jersey,451.99
New Mexico,6.31
New York,159.39
North Carolina,73.10
North Dakota,3.59
Ohio,108.30
Oklahoma,20.48
Oregon,14.11
Pennsylvania,107.24
Rhode Island,388.24
South Carolina,57.45
South Dakota,4.09
Tennessee,58.22
Texas,35.88
Utah,12.86
Vermont,25.93
Virginia,75.76
Washington,38.00
West Virginia,29.10
Wisconsin,40.01
Wyoming,2.12
