id,N,EN,Co,Cu
1,620,E620,1,1
2,621,E621,1,2
3,622,E622,1,3
4,623,E623,1,4
5,624,E624,1,5
6,625,E625,1,6
7,626,E626,1,7
8,627,E627,1,8
9,628,E628,1,9
10,629,E629,1,10
11,630,E630,1,11
12,631,E631,1,12
13,632,E632,1,13
14,633,E633,1,14
15,634,E634,1,15
16,635,E635,1,16
17,636,E636,1,17
18,637,E637,1,18
19,640,E640,1,19
20,650,E650,1,20
